Date;Open;High;Low;Close;Adj Close;Volume
20/07/2000;2.789.063;2.937.500;2.781.250;2.867.188;2.630.078;14299200
21/07/2000;2.875.000;2.958.333;2.833.333;2.903.646;2.663.520;25192800
24/07/2000;2.906.250;2.927.083;2.541.667;2.656.250;2.436.584;28111200
25/07/2000;2.697.917;2.718.750;2.552.083;2.557.292;2.345.810;33530400
26/07/2000;2.557.292;2.557.292;2.296.875;2.367.188;2.171.426;38006400
27/07/2000;2.291.667;2.322.917;2.166.667;2.197.917;2.016.154;33156000
28/07/2000;2.208.333;2.414.063;2.083.333;2.250.000;2.063.930;51266400
31/07/2000;2.375.000;2.505.208;2.250.000;2.500.000;2.293.256;37123200
01/08/2000;2.500.000;2.520.833;2.432.292;2.450.521;2.247.869;35061600
02/08/2000;2.416.667;2.540.365;2.377.604;2.500.000;2.293.256;34543200
03/08/2000;2.250.000;2.666.667;2.250.000;2.609.375;2.393.586;36866400
04/08/2000;2.671.875;2.708.333;2.614.583;2.656.250;2.436.584;19478400
07/08/2000;2.674.479;2.888.021;2.664.063;2.864.583;2.627.688;24693600
08/08/2000;2.802.083;2.958.333;2.791.667;2.802.083;2.570.357;12811200
09/08/2000;2.838.542;2.856.771;2.679.688;2.718.750;2.493.915;13624800
10/08/2000;2.656.250;2.812.500;2.604.167;2.750.000;2.522.581;15643200
11/08/2000;2.755.208;2.776.042;2.557.292;2.684.896;2.462.862;13192800
14/08/2000;2.718.750;2.744.792;2.625.000;2.710.938;2.486.749;10857600
15/08/2000;2.723.958;3.020.833;2.716.146;2.966.797;2.721.450;44332800
16/08/2000;3.127.604;3.127.604;2.950.521;3.041.667;2.790.128;26623200
17/08/2000;3.000.000;3.114.583;2.989.583;3.098.958;2.842.681;12981600
18/08/2000;3.085.938;3.244.792;3.080.729;3.208.333;2.943.011;20472000
21/08/2000;3.325.521;3.382.813;3.250.000;3.257.813;2.988.398;46447200
22/08/2000;3.088.542;3.156.250;2.921.875;2.950.521;2.706.520;65887200
23/08/2000;2.903.646;3.127.604;2.843.750;3.122.396;2.864.180;35280000
24/08/2000;3.104.167;3.236.979;3.046.875;3.205.729;2.940.622;33261600
25/08/2000;3.171.875;3.239.583;3.109.375;3.125.000;2.866.569;15304800
28/08/2000;3.140.625;3.291.667;3.104.167;3.250.000;2.981.231;18926400
29/08/2000;3.263.021;3.270.833;3.208.333;3.242.188;2.974.066;14937600
30/08/2000;3.205.729;3.315.104;3.171.875;3.270.833;3.000.341;17808000
31/08/2000;3.320.313;3.437.500;3.255.208;3.307.292;3.033.786;38889600
01/09/2000;3.375.000;3.406.250;3.276.042;3.312.500;3.038.564;20414400
05/09/2000;3.390.625;3.393.229;3.294.271;3.317.708;3.043.340;24614400
06/09/2000;3.330.729;3.330.729;3.062.500;3.088.542;2.833.127;23013600
07/09/2000;3.135.417;3.260.417;3.005.208;3.255.208;2.986.009;23976000
08/09/2000;3.218.750;3.291.667;3.052.083;3.062.500;2.809.237;22264800
11/09/2000;3.023.438;3.041.667;2.822.917;2.937.500;2.694.575;28588800
12/09/2000;2.940.104;3.093.750;2.875.000;2.919.271;2.677.854;12597600
13/09/2000;2.911.458;2.966.146;2.848.958;2.917.969;2.676.659;23997600
14/09/2000;2.932.292;3.062.500;2.854.167;2.890.625;2.651.577;21633600
15/09/2000;2.875.000;2.994.792;2.854.167;2.953.776;2.709.505;24259200
18/09/2000;2.960.938;2.979.167;2.750.000;2.781.250;2.551.247;16348800
19/09/2000;2.653.646;2.875.000;2.625.000;2.867.188;2.630.078;30110400
20/09/2000;2.789.063;2.843.750;2.729.167;2.773.438;2.544.081;22756800
21/09/2000;2.794.271;2.955.729;2.791.667;2.892.578;2.653.368;34682400
22/09/2000;2.606.771;2.979.167;2.604.167;2.942.708;2.699.353;38726400
25/09/2000;3.033.854;3.197.917;3.010.417;3.153.646;2.892.847;46756800
26/09/2000;3.187.500;3.265.625;3.041.667;3.229.167;2.962.121;33734400
27/09/2000;3.203.125;3.557.292;3.203.125;3.406.250;3.124.560;67612800
28/09/2000;3.375.000;3.531.250;3.291.667;3.510.417;3.220.114;33381600
29/09/2000;3.411.458;3.541.667;3.354.167;3.411.458;3.129.338;37387200
02/10/2000;3.458.333;3.593.750;3.244.792;3.330.729;3.055.285;34058400
03/10/2000;3.348.958;3.375.000;3.125.000;3.151.042;2.890.458;30026400
04/10/2000;3.067.708;3.166.667;3.026.042;3.114.583;2.857.013;41956800
05/10/2000;3.138.021;3.138.021;2.976.563;3.041.667;2.790.128;52504800
06/10/2000;3.049.479;3.070.313;2.809.896;2.851.563;2.615.745;102717600
09/10/2000;2.778.646;2.958.333;2.583.333;2.914.063;2.673.076;66525600
10/10/2000;2.791.667;2.932.292;2.666.667;2.692.708;2.470.027;41594400
11/10/2000;2.528.646;2.864.583;2.427.083;2.716.146;2.491.527;53577600
12/10/2000;2.776.042;2.937.500;2.583.333;2.609.375;2.393.586;40161600
13/10/2000;2.627.604;2.791.667;2.599.609;2.713.542;2.489.138;57897600
16/10/2000;2.713.542;2.713.542;2.588.542;2.651.042;2.431.806;33921600
17/10/2000;2.640.625;2.651.042;2.429.688;2.458.333;2.255.033;46324800
18/10/2000;2.299.479;2.559.896;2.190.104;2.419.271;2.219.203;41695200
19/10/2000;2.575.521;2.687.500;2.536.458;2.653.646;2.434.195;29488800
20/10/2000;2.591.146;2.968.750;2.572.917;2.901.042;2.661.132;38736000
23/10/2000;2.924.479;2.942.708;2.744.792;2.835.938;2.601.412;18211200
24/10/2000;2.822.917;2.869.792;2.734.375;2.744.792;2.517.804;19396800
25/10/2000;2.669.271;2.708.333;2.486.979;2.505.208;2.298.033;38551200
26/10/2000;2.520.833;2.708.333;2.343.750;2.611.979;2.395.974;26577600
27/10/2000;2.614.583;2.679.036;2.458.333;2.552.083;2.341.032;21096000
30/10/2000;2.510.417;2.567.057;2.369.792;2.372.396;2.176.203;19212000
31/10/2000;2.466.146;2.630.208;2.390.625;2.589.193;2.375.072;29925600
01/11/2000;2.526.042;2.625.000;2.437.500;2.588.542;2.374.475;30453600
02/11/2000;2.679.688;2.854.167;2.635.417;2.786.458;2.556.024;19288800
03/11/2000;2.750.000;3.020.833;2.729.167;2.968.750;2.723.240;26863200
06/11/2000;3.039.063;3.333.333;3.020.833;3.197.917;2.933.457;63504000
07/11/2000;3.145.833;3.145.833;2.875.000;2.981.771;2.735.186;25824000
08/11/2000;3.015.625;3.015.625;2.848.958;2.893.229;2.653.965;18708000
09/11/2000;2.718.750;2.854.167;2.463.542;2.591.146;2.376.864;56452800
10/11/2000;2.679.688;2.812.500;2.385.417;2.450.521;2.247.869;80524800
13/11/2000;2.328.125;2.729.167;2.250.000;2.460.938;2.257.425;53004000
14/11/2000;2.625.000;2.932.292;2.604.167;2.911.458;2.670.687;47073600
15/11/2000;2.859.375;2.950.521;2.742.188;2.873.047;2.635.453;42386400
16/11/2000;2.791.667;2.864.583;2.666.667;2.692.708;2.470.027;23553600
17/11/2000;2.713.542;2.851.563;2.552.083;2.640.625;2.422.251;17877600
20/11/2000;2.542.969;2.544.271;2.408.854;2.437.500;2.235.924;29875200
21/11/2000;2.541.667;2.562.500;2.265.625;2.390.625;2.192.925;38251200
22/11/2000;2.291.667;2.364.583;2.166.667;2.265.625;2.078.263;40975200
24/11/2000;2.291.667;2.484.375;2.291.667;2.395.833;2.197.703;16507200
27/11/2000;2.567.708;2.583.333;2.219.401;2.315.104;2.123.650;36386400
28/11/2000;2.350.260;2.375.000;2.091.146;2.142.578;1.965.392;38234400
29/11/2000;2.174.479;2.177.083;1.848.958;2.010.417;1.844.159;63640800
30/11/2000;1.838.542;1.838.542;1.515.625;1.687.500;1.547.947;98162400
01/12/2000;1.791.667;2.031.250;1.781.250;1.854.167;1.700.832;78408000
04/12/2000;1.865.885;1.927.083;1.739.583;1.882.813;1.727.108;47426400
05/12/2000;2.015.625;2.088.542;1.828.125;2.005.208;1.839.381;99722400
06/12/2000;1.966.146;2.020.833;1.708.333;1.718.750;1.576.613;95092800
07/12/2000;1.635.417;1.778.646;1.546.875;1.687.500;1.547.947;78518400
08/12/2000;1.861.979;2.083.333;1.688.151;2.072.917;1.901.492;85339200
11/12/2000;2.005.208;2.114.583;1.953.125;2.072.917;1.901.492;75763200
12/12/2000;2.020.833;2.057.292;1.947.917;2.015.625;1.848.938;40951200
13/12/2000;2.007.813;2.041.667;1.822.917;1.859.375;1.705.608;67507200
14/12/2000;1.846.354;1.861.979;1.687.500;1.731.771;1.588.557;56901600
15/12/2000;1.622.396;1.723.958;1.552.083;1.559.896;1.430.896;109442400
18/12/2000;1.625.000;1.666.667;1.588.542;1.611.328;1.478.075;65887200
19/12/2000;1.635.417;1.781.250;1.458.333;1.489.583;1.366.398;94620000
20/12/2000;1.414.063;1.619.792;1.255.208;1.328.125;1.218.292;110539200
21/12/2000;1.309.896;1.489.583;1.145.833;1.161.458;1.065.408;84525600
22/12/2000;1.255.208;1.593.750;1.255.208;1.460.938;1.340.122;94908000
